Symbol,Name,Sector,CurrentPrice,ClosedPrice
4503.T,Astellas Pharma Inc. engages in the manufacture,Drug Manufacturers—General,1845.0,1843.0
4506.T,Sumitomo Pharma Co.,Drug Manufacturers—Specialty & Generic,802.0,791.0
4507.T,Shionogi & Co.,Drug Manufacturers—Specialty & Generic,5867.0,5865.0
4519.T,Chugai Pharmaceutical Co.,Drug Manufacturers—General,3220.0,3255.0
4523.T,Eisai Co.,Drug Manufacturers—Specialty & Generic,7167.0,7189.0
4568.T,Daiichi Sankyo Company,Drug Manufacturers—General,4670.0,4634.0
4578.T,Otsuka Holdings Co.,Drug Manufacturers—General,3967.0,3967.0
6479.T,MinebeaMitsumi Inc. manufactures and supplies machined components,Electronic Components,2420.0,2449.0
6501.T,Hitachi,Conglomerates,6849.0,6863.0
6503.T,Mitsubishi Electric Corporation develops,Electrical Equipment & Parts,1538.0,1541.5
6594.T,Nidec Corporation,Specialty Industrial Machinery,6878.0,6827.0
6645.T,OMRON Corporation engages in industrial automation,Electronic Components,7441.0,7501.0
6701.T,NEC Corporation operates as a provider of information and communication technology solutions in Japan and internationally. It provides systems integration services comprising systems implementation and consulting; maintenance and support services; outsourcing and cloud services; and system equipment. The company also offers network infrastructure products,Information Technology Services,4920.0,4945.0
6702.T,Fujitsu Limited operates as an information and communication technology company in Japan and internationally. The company operates through three segments: Technology Solutions,Information Technology Services,17590.0,17725.0
6724.T,Seiko Epson Corporation,Computer Hardware,1870.0,1871.0
6752.T,Panasonic Holdings Corporation,Consumer Electronics,1131.5,1135.0
6753.T,Sharp Corporation manufactures and sells telecommunication equipment,Consumer Electronics,944.0,942.0
6758.T,Sony Group Corporation designs,Consumer Electronics,11595.0,11580.0
6762.T,TDK Corporation,Electronic Components,4665.0,4700.0
6770.T,Alps Alpine Co.,Electronic Components,1275.0,1285.0
6861.T,Keyence Corporation,Scientific & Technical Instruments,62270.0,61740.0
6902.T,DENSO Corporation develops,Auto Parts,7068.0,7108.0
6954.T,Fanuc Corporation provides factory automation products in Japan,Specialty Industrial Machinery,22910.0,23085.0
6971.T,Kyocera Corporation develops,Conglomerates,6838.0,6848.0
6981.T,Murata Manufacturing Co.,Electronic Components,7837.0,7871.0
7751.T,Canon Inc.,Computer Hardware,2871.0,2879.5
7752.T,Ricoh Company,Business Equipment & Supplies,975.0,982.0
8035.T,Tokyo Electron Limited,Semiconductor Equipment & Materials,50000.0,49100.0
7201.T,Nissan Motor Co.,Auto Manufacturers,480.7,482.7
7202.T,Isuzu Motors Limited manufactures and sells commercial vehicles,Auto Manufacturers,1579.0,1598.0
7203.T,Toyota Motor Corporation designs,Auto Manufacturers,1784.0,1787.0
7205.T,Hino Motors,Auto Manufacturers,522.0,527.0
7211.T,Mitsubishi Motors Corporation,Auto Manufacturers,493.0,495.0
7261.T,Mazda Motor Corporation manufactures and sells passenger cars and commercial vehicles in Japan,Auto Manufacturers,1142.0,1150.0
7267.T,Honda Motor Co.,Auto Manufacturers,3370.0,3391.0
7269.T,Suzuki Motor Corporation engages in the manufacturing and marketing of automobiles,Auto Manufacturers,4680.0,4671.0
7270.T,Subaru Corporation manufactures and sells automobiles and aerospace products in Japan,Auto Manufacturers,2063.0,2066.5
7272.T,Yamaha Motor Co.,Auto Manufacturers,3195.0,3205.0
4543.T,Terumo Corporation engages in the manufacture and sale of medical products and equipment worldwide. The company operates through three segments: Cardiac and Vascular Company,Medical Instruments & Supplies,3448.0,3547.0
7731.T,Nikon Corporation manufactures and sells optical instruments in Japan,Leisure,1324.0,1320.0
7733.T,Olympus Corporation manufactures and sells precision machineries and instruments worldwide. It operates through: Endoscopic Solutions Business,Medical Instruments & Supplies,2234.0,2240.0
7741.T,HOYA Corporation,Medical Instruments & Supplies,14120.0,13945.0
9432.T,Nippon Telegraph and Telephone Corporation provides fixed voice-related,Telecom Services,3969.0,3988.0
9433.T,KDDI Corporation provides telecommunications services in Japan and internationally. It operates in two segments,Telecom Services,4022.0,4041.0
9613.T,NTT DATA Corporation provides IT and business services worldwide. The company operates through Public & Social Infrastructure,Information Technology Services,1699.0,1706.0
9984.T,SoftBank Group Corp. provides telecommunication services in Japan and internationally. It operates through five segments: Investment Business of Holding Companies,Telecom Services,4972.0,4960.0
7186.T,Concordia Financial Group,Banks—Regional,475.0,474.0
8306.T,Mitsubishi UFJ Financial Group,Banks—Diversified,830.0,839.2
8308.T,Resona Holdings,Banks—Regional,593.5,609.4
8309.T,Sumitomo Mitsui Trust Holdings,Banks—Regional,4571.0,4599.0
8316.T,Sumitomo Mitsui Financial Group,Banks—Diversified,5189.0,5217.0
8331.T,The Chiba Bank,Banks—Regional,832.0,840.0
8411.T,Mizuho Financial Group,Banks—Regional,1843.5,1857.5
8591.T,ORIX Corporation provides diversified financial services in Japan,Credit Services,2141.0,2180.0
8697.T,Japan Exchange Group,Financial Data & Stock Exchanges,2045.0,2045.0
8601.T,Daiwa Securities Group Inc.,Capital Markets,612.0,617.0
8604.T,Nomura Holdings,Capital Markets,497.3,501.6
8630.T,Sompo Holdings,Insurance—Property & Casualty,5311.0,5333.0
8725.T,MS&AD Insurance Group Holdings,Insurance—Property & Casualty,4103.0,4125.0
8750.T,Dai-ichi Life Holdings,Insurance—Life,2326.5,2345.0
8766.T,Tokio Marine Holdings,Insurance—Property & Casualty,2541.0,2571.5
8795.T,T&D Holdings,Insurance—Life,1534.0,1559.0
2269.T,Meiji Holdings Co.,Packaged Foods,6400.0,6400.0
2282.T,NH Foods Ltd. engages in the meat processing and packing business in Japan and internationally. The company's Processed Foods Business division offers hams and sausages under the SCHAU ESSEN brand; and Chinese food meal kits under the Chuka Meisai brand; chilled pizzas under the Ishigama Kobo brand; and other meat products under the Hokkaido Carl Ramon and Kamakura Ham Tomioka brands. This segment also provides dairy products,Packaged Foods,3945.0,3925.0
2502.T,Asahi Group Holdings,Beverages—Brewers,4781.0,4764.0
2503.T,Kirin Holdings Company,Beverages—Brewers,2053.5,2090.0
2801.T,Kikkoman Corporation,Packaged Foods,6540.0,6460.0
2802.T,Ajinomoto Co.,Packaged Foods,4502.0,4452.0
2914.T,Japan Tobacco Inc.,Tobacco,2723.0,2723.5
3382.T,Seven & i Holdings Co.,Grocery Stores,5817.0,5764.0
8267.T,Aeon Co.,Department Stores,2533.0,2524.5
9983.T,Fast Retailing Co.,Apparel Retail,27370.0,27650.0
2413.T,M3,Health Information Services,3399.0,3413.0
3659.T,NEXON Co.,Electronic Gaming & Multimedia,2995.0,2998.0
4324.T,Dentsu Group Inc. operates in the advertising business in Japan and internationally. It offers advertising services,Advertising Agencies,4495.0,4525.0
4689.T,Z Holdings Corporation engages in media and commerce businesses in Japan. The company focuses on shopping and reuse businesses. It also offers membership,Internet Retail,380.4,382.3
4704.T,Trend Micro Incorporated develops and sells security-related software for computers and the Internet primarily in Japan. The company offers hybrid cloud security solutions,Software—Infrastructure,6370.0,6370.0
4755.T,Rakuten Group,Internet Retail,634.0,638.0
6098.T,Recruit Holdings Co.,Staffing & Employment Services,3725.0,3660.0
6178.T,Japan Post Holdings Co.,Banks—Regional,1090.0,1096.5
7974.T,Nintendo Co.,Electronic Gaming & Multimedia,5058.0,5076.0
9602.T,Toho Co.,Entertainment,4940.0,4930.0
9735.T,SECOM CO.,Security & Protection Services,8126.0,8116.0
9766.T,Konami Group Corporation,Electronic Gaming & Multimedia,6210.0,6230.0
1605.T,Inpex Corporation engages in the research,Oil & Gas E&P,1353.0,1371.0
3402.T,Toray Industries,Textile Manufacturing,740.8,747.1
3405.T,Kuraray Co.,Chemicals,1169.0,1167.0
3407.T,Asahi Kasei Corporation manufactures,Chemicals,904.7,909.2
4005.T,Sumitomo Chemical Company,Chemicals,436.0,437.0
4042.T,Tosoh Corporation manufactures and sells basic chemicals,Chemicals,1762.0,1772.0
4063.T,Shin-Etsu Chemical Co.,Chemicals,20885.0,20430.0
4188.T,Mitsubishi Chemical Group Corporation provides performance products,Chemicals,763.9,768.3
4452.T,Kao Corporation develops and sells cosmetic,Household & Personal Products,5092.0,5091.0
4901.T,FUJIFILM Holdings Corporation develops,Business Equipment & Supplies,6480.0,6500.0
4911.T,Shiseido Company,Household & Personal Products,5990.0,6000.0
6988.T,Nitto Denko Corporation primarily engages in the adhesive tapes business in Japan and internationally. It provides double sided tapes,Specialty Chemicals,8400.0,8460.0
5020.T,ENEOS Holdings,Oil & Gas Refining & Marketing,462.0,463.9
5108.T,Bridgestone Corporation,Auto Parts,5172.0,5192.0
5201.T,AGC Inc. manufactures and sells glass,Specialty Chemicals,4820.0,4800.0
5332.T,Toto Ltd. manufactures and sells bathroom and kitchen plumbing fixtures worldwide. It provides sanitary ware comprising toilet basins,Building Products & Equipment,4415.0,4435.0
5333.T,NGK Insulators,Specialty Industrial Machinery,1715.0,1717.0
5401.T,Nippon Steel Corporation engages in steelmaking and steel fabrication,Steel,2999.5,3019.0
5411.T,JFE Holdings,Steel,1602.0,1599.0
5713.T,Sumitomo Metal Mining Co.,Other Industrial Metals & Mining,4905.0,4943.0
5802.T,Sumitomo Electric Industries,Auto Parts,1630.5,1631.0
8001.T,ITOCHU Corporation engages in trading and importing/exporting various products worldwide. The company's Textile segment produces and sells fiber and garment materials,Conglomerates,4125.0,4164.0
8002.T,Marubeni Corporation engages in various business activities worldwide. The company trades in grains,Conglomerates,1720.0,1726.5
8015.T,Toyota Tsusho Corporation engages in the metals,Conglomerates,5270.0,5300.0
8031.T,Mitsui & Co.,Conglomerates,3731.0,3772.0
8053.T,Sumitomo Corporation engages in general trading business worldwide. It operates through six segments: Metal Products; Transportation & Construction Systems; Infrastructure; Media & Digital; Living Related & Real Estate; and Mineral Resources,Conglomerates,2268.0,2271.0
8058.T,Mitsubishi Corporation engages in the natural gas,Conglomerates,4586.0,4633.0
1801.T,Taisei Corporation engages in the civil engineering,Engineering & Construction,4010.0,4060.0
1802.T,Obayashi Corporation engages in the construction business in Japan,Engineering & Construction,996.0,990.0
1803.T,Shimizu Corporation engages in the building contracting,Engineering & Construction,740.0,743.0
1812.T,Kajima Corporation engages in civil engineering,Engineering & Construction,1568.0,1574.0
1925.T,Daiwa House Industry Co.,Real Estate—Development,3084.0,3088.0
1928.T,Sekisui House,Residential Construction,2656.5,2657.0
6273.T,SMC Corporation manufactures,Specialty Industrial Machinery,68290.0,68530.0
6301.T,Komatsu Ltd. manufactures and sells construction,Farm & Heavy Construction Machinery,3202.0,3210.0
6326.T,Kubota Corporation manufactures and markets machinery and related solutions in the food,Farm & Heavy Construction Machinery,1910.0,1938.5
6367.T,Daikin Industries,Building Products & Equipment,22950.0,22910.0
6471.T,NSK Ltd.,Auto Parts,731.0,734.0
6473.T,JTEKT Corporation manufactures and sells steering systems,Auto Parts,961.0,973.0
7011.T,Mitsubishi Heavy Industries,Specialty Industrial Machinery,4599.0,4575.0
7012.T,Kawasaki Heavy Industries,Specialty Industrial Machinery,2761.0,2768.0
7832.T,BANDAI NAMCO Holdings Inc. develops entertainment-related products and services worldwide. It offers toys,Leisure,8422.0,8394.0
7911.T,Toppan Inc. develops solutions based on its printing technologies. The company offers security documents,Specialty Business Services,2524.0,2541.0
7912.T,Dai Nippon Printing Co.,Specialty Business Services,3620.0,3640.0
8801.T,Mitsui Fudosan Co.,Real Estate—Diversified,2367.0,2401.5
8802.T,Mitsubishi Estate Co.,Real Estate—Diversified,1546.0,1553.5
8830.T,Sumitomo Realty & Development Co.,Real Estate Services,2882.5,2904.5
9001.T,Tobu Railway Co.,Railroads,3115.0,3125.0
9005.T,Tokyu Corporation,Department Stores,1719.0,1711.0
9007.T,Odakyu Electric Railway Co.,Railroads,1682.0,1645.0
9020.T,East Japan Railway Company operates as a passenger railway company in Japan and internationally. The company operates through Transportation,Railroads,7225.0,7213.0
9021.T,West Japan Railway Company provides passenger railway transport services in Japan. The company operates through Transportation Operations,Railroads,5299.0,5308.0
9022.T,Central Japan Railway Company engages in the railway and related businesses in Japan. The company operates through Transportation,Railroads,15505.0,15515.0
9064.T,Yamato Holdings Co.,Trucking,2213.0,2224.0
9202.T,ANA Holdings Inc.,Airlines,2783.0,2772.5
9501.T,Tokyo Electric Power Company Holdings,Utilities—Renewable,453.0,449.0
9502.T,Chubu Electric Power Company,Utilities—Diversified,1403.0,1389.0
9503.T,The Kansai Electric Power Company,Utilities—Renewable,1277.0,1258.0
9531.T,Tokyo Gas Co.,Utilities—Regulated Gas,2497.0,2487.0
9532.T,Osaka Gas Co.,Utilities—Regulated Gas,2202.0,2208.0
EICHERMOT.NS,Eicher Motors Limited,Auto Manufacturers,2909.6,2927.7
GODREJCP.NS,Godrej Consumer Products Limited,Household & Personal Products,951.2,952.25
HDFC.NS,Housing Development Finance Corporation Limited provides housing finance to individuals and corporate customers in India. It operates through Loans,Mortgage Finance,2559.9,2569.85
MARICO.NS,Marico Limited,Household & Personal Products,477.2,479.35
NESTLEIND.NS,Nestlé India Limited manufactures and sells food products in India. The company provides milk products and nutrition,Packaged Foods,18953.1,19044.45
SHREECEM.NS,Shree Cement Limited manufactures and sells cement and clinker in India and internationally. It offers cement under the Roofon,Building Materials,25511.65,25413.15
AMBUJACEM.NS,Ambuja Cements Limited,Building Materials,371.8,372.15
AXISBANK.NS,Axis Bank Limited provides various financial products and services. It operates through four segments: Treasury,Banks—Regional,839.9,848.8
BHEL.NS,Bharat Heavy Electricals Limited operates as engineering and manufacturing company in India. The company operates in two segments: Power and Industry. It offers thermal power plants,Specialty Industrial Machinery,71.8,74.3
BOSCHLTD.NS,Bosch Limited manufactures and trades in automotive products in India and internationally. The company operates through Automotive Products,Auto Parts,18452.65,18427.8
BPCL.NS,Bharat Petroleum Corporation Limited refines crude oil and markets petroleum products in India. The company operates through two segments,Oil & Gas Refining & Marketing,345.4,348.35
CIPLA.NS,Cipla Limited,Drug Manufacturers—General,877.25,869.1
COALINDIA.NS,Coal India Limited,Thermal Coal,208.45,213.35
DABUR.NS,Dabur India Limited operates as a fast-moving consumer goods company worldwide. It operates through Consumer Care Business,Household & Personal Products,536.4,539.4
DRREDDY.NS,Dr. Reddy's Laboratories Limited,Drug Manufacturers—Specialty & Generic,4464.15,4446.95
GAIL.NS,GAIL (India) Limited operates as a natural gas processing and distribution company in India and internationally. The company operates through Transmission Services,Utilities—Regulated Gas,103.5,105.1
GRASIM.NS,Grasim Industries Limited operates in fibre,Building Materials,1594.3,1605.95
HCLTECH.NS,HCL Technologies Limited offers software development,Information Technology Services,1051.75,1065.9
HDFCBANK.NS,HDFC Bank Limited provides banking and financial services to individuals and businesses in India,Banks—Regional,1560.65,1563.15
HINDALCO.NS,Hindalco Industries Limited,Aluminum,388.4,398.8
HINDPETRO.NS,Hindustan Petroleum Corporation Limited refines and markets petroleum products in India and internationally. The company operates through Downstream Petroleum and All Other segments. It offers petrol,Oil & Gas Refining & Marketing,238.85,242.7
ICICIBANK.NS,ICICI Bank Limited provides various banking products and services in India and internationally. It operates through Retail Banking,Banks—Regional,852.4,855.45
IDEA.NS,Vodafone Idea Limited provides mobile telecommunication services in India. It offers voice and data services on 2G,Telecom Services,6.25,6.45
INFY.NS,Infosys Limited,Information Technology Services,1380.65,1374.55
IOC.NS,Indian Oil Corporation Limited,Oil & Gas Refining & Marketing,78.4,79.0
ITC.NS,ITC Limited engages in the fast-moving consumer goods,Tobacco,378.7,380.65
JSWSTEEL.NS,JSW Steel Limited engages in the manufacture and sale of iron and steel products in India and internationally. The company provides hot rolled and cold-rolled coils,Steel,657.8,667.8
KOTAKBANK.NS,Kotak Mahindra Bank Limited provides banking and financial services to corporate and individual customers in India. It operates through Treasury,Banks—Regional,1692.15,1679.7
LT.NS,Larsen & Toubro Limited engages in engineering,Engineering & Construction,2166.15,2206.65
LUPIN.NS,Lupin Limited,Drug Manufacturers—Specialty & Generic,640.0,648.55
M&M.NS,Mahindra & Mahindra Limited provides mobility products and farm solutions in India and internationally. The company operates through Automotive,Auto Manufacturers,1150.8,1164.95
MARUTI.NS,Maruti Suzuki India Limited manufactures,Auto Manufacturers,8242.9,8353.2
NTPC.NS,NTPC Limited generates and sells bulk power to state power utilities in India. It operates in two segments,Utilities—Regulated Electric,172.7,174.6
ONGC.NS,Oil and Natural Gas Corporation Limited explores for,Oil & Gas Integrated,149.4,152.8
PFC.NS,Power Finance Corporation Limited,Credit Services,148.15,152.35
SBIN.NS,State Bank of India provides banking products and services to individuals,Banks—Regional,505.35,512.75
SIEMENS.NS,Siemens Limited manufactures and sells electric motors,Specialty Industrial Machinery,3333.45,3324.95
SUNPHARMA.NS,Sun Pharmaceutical Industries Limited,Drug Manufacturers—Specialty & Generic,972.85,977.65
TATASTEEL.NS,Tata Steel Limited manufactures and distributes steel products in India and internationally. It operates in Tata Steel India,Steel,102.1,104.9
TCS.NS,Tata Consultancy Services Limited provides information technology (IT) and IT enabled services worldwide. The company operates through Banking,Information Technology Services,3120.5,3124.65
TECHM.NS,Tech Mahindra Limited provides information technology (IT) services and solutions in the Americas,Information Technology Services,1101.95,1099.45
TITAN.NS,Titan Company Limited,Luxury Goods,2493.35,2519.05
WIPRO.NS,Wipro Limited operates as an information technology (IT),Information Technology Services,361.75,361.5
YESBANK.NS,Yes Bank Limited provides various banking products and services. It operates through Treasury,Banks—Regional,15.05,15.2
ZEEL.NS,Zee Entertainment Enterprises Limited,Broadcasting,211.75,216.0
MOTHERSON.NS,Samvardhana Motherson International Limited engages in the manufacture and sale of components for automotive original equipment manufacturers in India and internationally. The company offers interior and exterior mirrors,Auto Parts,64.75,65.25
UPL.NS,UPL Limited engages in the provision of sustainable agriculture products and solutions in India and internationally. It operates through two segments,Agricultural Inputs,696.9,709.7
VEDL.NS,Vedanta Limited operates as a diversified natural resources company in India. It explores for,Other Industrial Metals & Mining,269.75,271.25
ZYDUSLIFE.NS,Zydus Lifesciences Limited engages in the research,Drug Manufacturers—Specialty & Generic,480.7,482.3
BHARTIARTL.NS,Bharti Airtel Limited operates as a telecommunications company in Asia and Africa. It operates through Mobile Services India,Telecom Services,762.45,763.55
BAJAJ-AUTO.NS,Bajaj Auto Limited develops,Auto Manufacturers,3827.9,3862.95
ULTRACEMCO.NS,UltraTech Cement Limited,Building Materials,7405.65,7407.95
HEROMOTOCO.NS,Hero MotoCorp Limited manufactures and sells motorized two wheelers,Auto Manufacturers,2313.35,2362.5
BAJAJFINSV.NS,Bajaj Finserv Ltd.,Financial Conglomerates,1240.65,1290.0
